City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
445,Yuli,NG,72.18,broken clouds,9.6989,10.2744,
450,Banda Aceh,ID,80.76,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
451,Port Pirie,AU,73.4,scattered clouds,-33.1833,138.0167,John Pirie Motor Inn
458,Benjamin Constant,BR,74.68,overcast clouds,-4.3831,-70.0311,CASA AVALIADA
460,Amahai,ID,86.07,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
467,Miracema Do Tocantins,BR,76.05,overcast clouds,-9.5618,-48.3967,Miami Apart Hotel
469,Nelson Bay,AU,72.0,light intensity drizzle,-32.7167,152.15,Mantra Nelson Bay
472,Nicoya,CR,75.87,clear sky,10.1483,-85.45200000000001,Guayacan Real
474,Sabang,ID,81.91,overcast clouds,5.8933,95.3214,Hotel Citra
475,Alofi,NU,80.6,moderate rain,-19.0595,-169.9187,Taloa Heights
477,Maumere,ID,84.38,overcast clouds,-8.6199,122.2111,Sylvia Hotel
485,Oum Hadjer,TD,70.02,scattered clouds,13.2954,19.6966,
487,Itarema,BR,79.61,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
489,Acapulco,MX,76.12,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
490,Dzilam Gonzalez,MX,77.54,clear sky,21.2833,-88.9333,posadas
491,Neuquen,AR,73.4,clear sky,-38.9516,-68.0591,Hotel del Comahue
494,Moranbah,AU,91.65,clear sky,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
499,Manokwari,ID,76.28,moderate rain,-0.8667,134.0833,Swiss Belhotel Manokwari
503,Kupang,ID,80.6,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
504,Kavieng,PG,84.4,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
505,Grand Gaube,MU,75.99,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
512,Doba,TD,72.19,clear sky,8.65,16.85,Restaurant Auberge La Pétrolière
513,Sinnamary,GF,77.36,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
514,Kisangani,CD,70.43,moderate rain,0.5167,25.2,Grand Ramela Hotel
519,Trinidad,BO,74.66,light rain,-14.8333,-64.9,Hotel Piesta
521,Sambava,MG,74.88,few clouds,-14.2667,50.1667,Melrose
523,Tela,HN,75.99,clear sky,15.7833,-87.45,Hotel & Restaurante Cesar Mariscos
526,Bundaberg,AU,87.8,scattered clouds,-24.85,152.35,Takalvan Motel
529,Grand-Lahou,CI,77.9,scattered clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
532,Tutoia,BR,79.88,overcast clouds,-2.7619,-42.2744,Pousada Guará's
535,Luanda,AO,80.6,few clouds,-8.8368,13.2343,EPIC SANA Luanda
537,Bouna,CI,75.09,overcast clouds,9.2667,-3.0,Hotel Reserve
539,Ponta Pora,BR,72.32,overcast clouds,-22.5361,-55.7256,Hotel Pousada do Bosque
541,Port-Gentil,GA,80.94,light rain,-0.7193,8.7815,Fengshui Residence
546,Pimentel,PE,72.43,broken clouds,-6.8367,-79.9342,Casona Del Muelle
550,Geraldton,AU,71.49,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
551,Santa Isabel Do Rio Negro,BR,76.05,light rain,-0.4139,-65.0192,Hotel GSA
552,Bambanglipuro,ID,81.54,light rain,-7.95,110.2833,Puri Brata
555,Calabozo,VE,81.03,few clouds,8.9242,-67.4293,Hotel Giardini
560,Ngunguru,NZ,82.0,scattered clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
563,Tibati,CM,70.32,overcast clouds,6.4667,12.6333,Tibati Hotel
568,Jardim,BR,74.35,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
570,Chokwe,MZ,74.32,overcast clouds,-24.5333,32.9833,Complexo Sonho Real
572,Toamasina,MG,75.87,broken clouds,-18.1667,49.3833,Hotel H1
573,Owando,CG,71.51,broken clouds,-0.4819,15.8999,Exaunel Hotel Owando
575,Labuhan,ID,82.94,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
579,Bolitoc,PH,82.35,broken clouds,15.7395,119.8769,Seasun Beach Resort & Hotel
581,Mahibadhoo,MV,80.22,overcast clouds,3.7833,72.9667,Omadhoo Inn
582,Neiafu,TO,77.0,moderate rain,-18.65,-173.9833,Mystic Sands
583,Treinta Y Tres,UY,72.18,light rain,-33.2333,-54.3833,Jardines Apart-Hotel
585,Ahipara,NZ,75.09,clear sky,-35.1667,173.1667,Ahipara Holiday Park
586,Namatanai,PG,85.66,light rain,-3.6667,152.4333,Namatanai Hotel
587,Lumphat,KH,79.29,overcast clouds,13.4878,106.9816,Lumphat Homestay
589,Puerto Madero,MX,80.4,clear sky,14.7208,-92.4215,Hotel La Central
