City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
215,Bahia Blanca,AR,2021-01-24 05:25:42,-38.7196,-62.2724,88.0,23,8,7.07
216,San Quintin,MX,2021-01-24 05:25:42,30.4833,-115.95,54.86,72,60,13.42
217,Harper,LR,2021-01-24 05:25:42,4.375,-7.7169,77.23,88,2,5.73
218,San Antero,CO,2021-01-24 05:25:42,9.3741,-75.7589,78.17,84,88,9.06
219,Amla,IN,2021-01-24 05:25:42,21.9333,78.1167,76.71,27,0,4.23
220,Nuevo Progreso,MX,2021-01-24 05:25:43,23.1667,-97.95,73.99,66,99,5.75
221,Jumla,NP,2021-01-24 05:25:43,29.2747,82.1838,50.86,27,0,4.79
222,Haines Junction,CA,2021-01-24 05:25:43,60.7522,-137.5108,10.4,85,100,2.51
223,Baberu,IN,2021-01-24 05:25:43,25.55,80.7167,70.75,31,0,7.23
224,Inta,RU,2021-01-24 05:25:43,66.0317,60.1659,-8.75,82,100,11.16
225,Buluang,PH,2021-01-24 05:25:44,13.3068,123.3425,84.85,70,52,0.74
226,Tairua,NZ,2021-01-24 05:25:44,-37.0167,175.85,75.0,60,30,31.0
227,Svetlogorsk,BY,2021-01-24 05:25:44,52.6333,29.7333,34.18,97,97,13.11
228,Flinders,AU,2021-01-24 05:25:44,-34.5833,150.8552,86.0,57,54,8.99
229,Tasiilaq,GL,2021-01-24 05:25:44,65.6145,-37.6368,14.0,57,21,1.14
230,Roma,US,2021-01-24 05:21:19,43.2128,-75.4557,10.0,78,75,6.91
231,Krasnoarmeysk,RU,2021-01-24 05:25:45,51.0239,45.6969,34.0,83,100,3.0
232,Potenza,IT,2021-01-24 05:25:45,40.6443,15.8086,44.01,75,100,3.0
233,Vardo,NO,2021-01-24 05:25:45,70.3705,31.1107,19.74,96,100,28.66
234,Keti Bandar,PK,2021-01-24 05:24:09,24.1447,67.4497,69.87,17,0,12.77
235,Hualmay,PE,2021-01-24 05:25:46,-11.0964,-77.6139,71.74,75,87,6.82
236,Kodiak,US,2021-01-24 05:23:57,57.79,-152.4072,39.2,56,1,18.41
237,Acajutla,SV,2021-01-24 05:25:15,13.5928,-89.8275,78.13,66,21,5.99
238,Chumikan,RU,2021-01-24 05:25:46,54.7183,135.315,-5.67,80,44,12.68
239,Avera,US,2021-01-24 05:25:46,33.194,-82.5271,42.8,75,90,4.61
240,Klaksvik,FO,2021-01-24 05:25:46,62.2266,-6.589,35.6,93,40,9.22
241,Saint-Pierre,RE,2021-01-24 05:25:47,-21.3393,55.4781,84.2,70,20,8.05
242,Puerto Del Rosario,ES,2021-01-24 05:25:47,28.5004,-13.8627,60.8,88,0,5.75
243,The Valley,AI,2021-01-24 05:25:47,18.217,-63.0578,77.0,78,40,4.61
244,Vao,NC,2021-01-24 05:25:47,-22.6667,167.4833,75.99,80,95,25.43
245,Lavrentiya,RU,2021-01-24 05:25:47,65.5833,-171.0,-3.46,84,78,5.28
246,Roros,NO,2021-01-24 05:25:48,62.5747,11.3842,23.0,93,90,4.61
247,Cheremisinovo,RU,2021-01-24 05:25:48,51.8855,37.2646,35.6,100,90,8.95
248,Lazaro Cardenas,MX,2021-01-24 05:25:48,17.9583,-102.2,75.29,85,100,2.86
249,Mamallapuram,IN,2021-01-24 05:25:48,12.6264,80.1722,84.2,61,40,3.44
250,Bartica,GY,2021-01-24 05:25:49,6.4,-58.6167,73.4,100,20,2.3
251,Yaan,NG,2021-01-24 05:25:49,7.3833,8.5667,68.14,25,97,3.04
252,Horana,LK,2021-01-24 05:25:49,6.7166,80.0619,84.2,54,0,9.22
253,Novyy Urengoy,RU,2021-01-24 05:25:49,66.0833,76.6333,-42.65,77,0,4.07
254,Tonekabon,IR,2021-01-24 05:25:49,36.8163,50.8738,42.8,52,0,0.07
255,Pitsunda,GE,2021-01-24 05:25:50,43.1592,40.3378,37.4,65,0,15.66
256,Epe,NG,2021-01-24 05:25:50,6.5841,3.9834,73.24,93,100,3.04
257,Kirando,TZ,2021-01-24 05:25:50,-7.4167,30.6,72.73,75,100,5.21
258,Mudon,MM,2021-01-24 05:25:50,16.2578,97.7164,86.29,43,0,2.51
259,Esperance,AU,2021-01-24 05:25:50,-33.8667,121.9,75.2,46,40,12.66
260,Pangai,TO,2021-01-24 05:25:51,-19.8,-174.35,77.79,90,99,12.91
261,Provideniya,RU,2021-01-24 05:25:51,64.3833,-173.3,6.78,83,1,2.66
262,Kuytun,RU,2021-01-24 05:25:51,54.3419,101.5036,3.2,93,100,2.68
263,Ola,RU,2021-01-24 05:25:51,59.5833,151.2833,-11.76,82,90,10.09
264,Luuk Datan,PH,2021-01-24 05:25:51,4.8119,119.8453,82.33,77,93,11.25
265,Talara,PE,2021-01-24 05:25:52,-4.5772,-81.2719,72.73,81,96,10.11
266,Suntar,RU,2021-01-24 05:25:52,62.1444,117.6319,-40.79,78,28,4.45
267,Elizabeth City,US,2021-01-24 05:25:52,36.2946,-76.2511,28.99,50,1,8.05
268,Cayenne,GF,2021-01-24 05:25:52,4.9333,-52.3333,75.2,100,75,1.14
269,Isiro,CD,2021-01-24 05:25:53,2.7739,27.616,69.37,58,100,2.35
270,Matay,EG,2021-01-24 05:25:53,28.419,30.7792,44.04,76,0,7.02
271,Ciudad Bolivar,VE,2021-01-24 05:25:53,8.1222,-63.5497,75.87,80,79,10.78
272,Tual,ID,2021-01-24 05:25:53,-5.6667,132.75,85.03,71,95,13.53
273,Gillette,US,2021-01-24 05:25:53,44.2911,-105.5022,16.0,85,75,4.61
274,Fergus Falls,US,2021-01-24 05:25:53,46.283,-96.0776,21.2,93,90,8.05
275,Guerrero Negro,MX,2021-01-24 05:25:54,27.9769,-114.0611,57.78,75,30,8.28
276,Ichinohe,JP,2021-01-24 05:25:54,40.2069,141.3017,36.66,79,100,0.43
277,Ganzhou,CN,2021-01-24 05:25:54,28.8184,115.4327,59.32,51,0,5.59
278,Alekseyevsk,RU,2021-01-24 05:25:54,57.8406,108.3492,-9.62,86,98,2.1
279,Sao Joao Da Barra,BR,2021-01-24 05:25:55,-21.6403,-41.0511,73.69,85,0,3.96
280,Marawi,PH,2021-01-24 05:25:55,7.9986,124.2928,82.0,80,90,8.01
281,Gisborne,NZ,2021-01-24 05:25:55,-38.6533,178.0042,81.0,46,40,1.99
282,Namibe,AO,2021-01-24 05:25:55,-15.1961,12.1522,75.27,70,100,4.0
283,Tuy Hoa,VN,2021-01-24 05:25:55,13.0833,109.3,75.09,75,21,9.35
284,Berdigestyakh,RU,2021-01-24 05:25:56,62.0989,126.6992,-45.56,75,77,5.46
285,Padang,ID,2021-01-24 05:25:56,-0.9492,100.3543,89.6,55,20,5.75
286,Agadez,NE,2021-01-24 05:25:56,19.75,10.25,50.0,38,0,9.26
287,Miraflores,MX,2021-01-24 05:25:56,19.2167,-98.8083,60.8,44,40,4.61
288,Tawang,IN,2021-01-24 05:25:56,27.5833,91.8667,46.35,53,49,6.35
289,Anahuac,MX,2021-01-24 05:25:56,27.2333,-100.15,69.58,85,69,10.07
290,Bonthe,SL,2021-01-24 05:25:57,7.5264,-12.505,74.19,90,1,5.3
291,Thohoyandou,ZA,2021-01-24 05:25:57,-22.9456,30.485,68.43,99,100,17.65
292,Gat,IL,2021-01-24 05:25:57,31.61,34.7642,48.99,33,0,1.99
293,Mehamn,NO,2021-01-24 05:25:57,71.0357,27.8492,18.54,93,100,23.6
